id,title,original_title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
21,Kamisama Kiss,????????,"Nanami was just a normal high school girl down on her luck until a stranger’s lips marked her as the new Land God and turned her world upside down. Now, she’s figuring out the duties of a deity with the help of Tomoe, a reformed fox demon who reluctantly becomes her familiar in a contract sealed with a kiss. The new responsibilities—and boys—are a lot to handle, like the crow demon masquerading as a gorgeous pop idol and the adorable snake spirit who’s chosen the newly minted god to be his bride. As the headstrong Tomoe tries to whip her into shape, Nanami finds that love just might have cute, pointed fox ears. With romance in the air, will the human deity be able to prove herself worthy of her new title?",10/2/2012,8.0973,"Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.64,982
22,Demon Slayer: Kimetsu no Yaiba,????,"After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost.",4/6/2019,21.1091,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.6,6975
23,Once,O11CE,"The series revolves around Gabo, a soccer-loving teenager who, upon receiving a scholarship from the prestigious Sports Academic Institute (IAD) of Buenos Aires, will see his dream of playing at Los Halcones Dorados, the renowned amateur team of the school, and also his longing to become a professional footballer.",6/19/2017,12.6064,"Comedy, Family, Soap",Argentina,Spanish,8.639,1498
24,Fighting Spirit,??????,"Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school (the family fishing business grants him a distinct odor), Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning...",10/3/2000,19.7234,"Animation, Comedy, Drama, Action & Adventure",Japan,Japanese,8.63,1147
25,Regular Show,Regular Show,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,9/6/2010,38.9142,"Animation, Comedy",United States,English,8.627,2149
26,Cosmos: A Personal Voyage,Cosmos: A Personal Voyage,"Carl Sagan covers a wide range of scientific subjects, including the origin of life and a perspective of our place in the universe.",9/28/1980,3.8724,Documentary,United States,English,8.6,402
27,Wizards of Waverly Place,Wizards of Waverly Place,"Alex, Justin and Max Russo are not your ordinary kids - they're wizards in training! While their parents run the Waverly Sub Station, the siblings struggle to balance their ordinary lives while learning to master their extraordinary powers.",10/12/2007,12.2642,"Comedy, Sci-Fi & Fantasy, Kids",United States,English,8.6,1146
28,Death Note,DEATH NOTE,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",10/4/2006,17.2726,"Animation, Mystery, Sci-Fi & Fantasy",Japan,Japanese,8.622,4597
29,INVINCIBLE,INVINCIBLE,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.",3/25/2021,30.1695,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",United States,English,8.6,5172
30,Primal,Primal,A caveman forms a bond with a dinosaur as they struggle to survive in a hostile world.,10/8/2019,7.9103,"Action & Adventure, Animation, Drama",United States,English,8.623,1475
31,Toilet-Bound Hanako-kun,????????,"To be united with her crush, a hopeless romantic summons the ghost in the girls' bathroom at her school. But she's shocked when the ghost is a boy!",1/10/2020,12.1135,"Animation, Mystery, Comedy, Action & Adventure, Drama",Japan,Japanese,8.6,754
32,My Hero Academia,???????????,"After he saves a bully from a Villain, a normal student is granted a superpower that allows him to attend a high school training academy for Heroes.",4/3/2016,20.4111,"Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,8.62,5124
